field_id,field_name,field_type,field_label,required,field_context,page_number,table_name
table_2_row_13,cpp_contributions_cpp_contributions_cpp_contributi,currency,"CPP contributions CPP contributions CPP contributions $ Public transit, taxis Public transit, taxis ",False,"Table 3, Row 14",0,Table 3
table_2_row_14,ei_premiums_ei_premiums_ei_premiums_gas_and_oil_ga,currency,EI premiums EI premiums EI premiums $ Gas and oil Gas and oil Gas and oil Gas and oil $,False,"Table 3, Row 15",0,Table 3
table_2_row_15,income_taxes_income_taxes_income_taxes_car_insuran,currency,Income taxes Income taxes Income taxes $ Car insurance and license Car insurance and license Car ins,False,"Table 3, Row 16",0,Table 3
table_2_row_16,employee_pension_contributions_employee_pension_co,currency,Employee pension contributions Employee pension contributions Employee pension contributions $ Repai,False,"Table 3, Row 17",0,Table 3
table_2_row_17,union_dues_union_dues_union_dues_parking_parking_p,currency,Union dues Union dues Union dues $ Parking Parking Parking Parking $,False,"Table 3, Row 18",0,Table 3
table_2_row_18,subtotal_subtotal_subtotal_car_loan_or_lease_payme,currency,SUBTOTAL SUBTOTAL SUBTOTAL $ Car Loan or Lease Payments Car Loan or Lease Payments Car Loan or Lease,False,"Table 3, Row 19",0,Table 3
table_2_row_19,housing_housing_housing_housing_housing_subtotal_s,currency,Housing Housing Housing Housing Housing SUBTOTAL SUBTOTAL SUBTOTAL SUBTOTAL $,False,"Table 3, Row 20",0,Table 3
table_2_row_20,rent_or_mortgage_rent_or_mortgage_rent_or_mortgage,currency,Rent or mortgage Rent or mortgage Rent or mortgage $ Health Health Health Health Health Health,False,"Table 3, Row 21",0,Table 3
table_2_row_21,property_taxes_property_taxes_property_taxes_healt,currency,Property taxes Property taxes Property taxes $ Health insurance premiums Health insurance premiums H,False,"Table 3, Row 22",0,Table 3
table_2_row_22,property_insurance_property_insurance_property_ins,currency,Property insurance Property insurance Property insurance $ Dental expenses Dental expenses Dental ex,False,"Table 3, Row 23",0,Table 3
table_2_row_23,condominium_fees_condominium_fees_condominium_fees,currency,Condominium fees Condominium fees Condominium fees $ Medicine and drugs Medicine and drugs Medicine ,False,"Table 3, Row 24",0,Table 3
table_2_row_24,repairs_and_maintenance_repairs_and_maintenance_re,currency,Repairs and maintenance Repairs and maintenance Repairs and maintenance $ Eye care Eye care Eye care,False,"Table 3, Row 25",0,Table 3
table_2_row_25,subtotal_subtotal_subtotal_subtotal_subtotal_subto,currency,SUBTOTAL SUBTOTAL SUBTOTAL $ SUBTOTAL SUBTOTAL SUBTOTAL SUBTOTAL $,False,"Table 3, Row 26",0,Table 3
table_2_row_27,water_water_water_clothing_clothing_clothing_cloth,currency,Water Water Water $ Clothing Clothing Clothing Clothing $,False,"Table 3, Row 28",0,Table 3
table_2_row_28,heat_heat_heat_hair_care_and_beauty_hair_care_and_,currency,Heat Heat Heat $ Hair care and beauty Hair care and beauty Hair care and beauty Hair care and beauty,False,"Table 3, Row 29",0,Table 3
table_2_row_29,electricity_electricity_electricity_alcohol_and_to,currency,Electricity Electricity Electricity $ Alcohol and tobacco Alcohol and tobacco Alcohol and tobacco Al,False,"Table 3, Row 30",0,Table 3
table_3_row_4,telephone_telephone_telephone_telephone_telephone_,currency,Telephone Telephone Telephone Telephone Telephone Telephone Telephone $ $ Education (specify) Educat,False,"Table 4, Row 5",0,Table 4
table_3_row_5,cell_phone_cell_phone_cell_phone_cell_phone_cell_p,currency,Cell phone Cell phone Cell phone Cell phone Cell phone Cell phone Cell phone $ $ Entertainment/recre,False,"Table 4, Row 6",0,Table 4
table_3_row_6,cable_cable_cable_cable_cable_cable_cable_gifts_gi,currency,Cable Cable Cable Cable Cable Cable Cable $ $ Gifts Gifts Gifts Gifts Gifts Gifts Gifts Gifts Gifts ,False,"Table 4, Row 7",0,Table 4
table_3_row_7,internet_internet_internet_internet_internet_inter,currency,Internet Internet Internet Internet Internet Internet Internet $ $ SUBTOTAL SUBTOTAL SUBTOTAL SUBTOT,False,"Table 4, Row 8",0,Table 4
table_3_row_8,subtotal_subtotal_subtotal_subtotal_subtotal_subto,currency,SUBTOTAL SUBTOTAL SUBTOTAL SUBTOTAL SUBTOTAL SUBTOTAL SUBTOTAL $ $ Other expenses Other expenses Oth,False,"Table 4, Row 9",0,Table 4
table_3_row_9,household_expenses_household_expenses_household_ex,currency,Household Expenses Household Expenses Household Expenses Household Expenses Household Expenses House,False,"Table 4, Row 10",0,Table 4
table_3_row_10,groceries_groceries_groceries_groceries_groceries_,currency,Groceries Groceries Groceries Groceries Groceries Groceries Groceries $ $ RRSP/RESP withdrawals RRSP,False,"Table 4, Row 11",0,Table 4
table_3_row_11,household_supplies_household_supplies_household_su,currency,Household supplies Household supplies Household supplies Household supplies Household supplies House,False,"Table 4, Row 12",0,Table 4
table_3_row_12,meals_outside_the_home_meals_outside_the_home_meal,currency,Meals outside the home Meals outside the home Meals outside the home Meals outside the home Meals ou,False,"Table 4, Row 13",0,Table 4
table_3_row_13,pet_care_pet_care_pet_care_pet_care_pet_care_pet_c,currency,Pet care Pet care Pet care Pet care Pet care Pet care Pet care $ $ Clothing for children Clothing fo,False,"Table 4, Row 14",0,Table 4
table_3_row_14,laundry_and_dry_cleaning_laundry_and_dry_cleaning_,currency,Laundry and Dry Cleaning Laundry and Dry Cleaning Laundry and Dry Cleaning Laundry and Dry Cleaning ,False,"Table 4, Row 15",0,Table 4
table_3_row_15,subtotal_subtotal_subtotal_subtotal_subtotal_subto,currency,SUBTOTAL SUBTOTAL SUBTOTAL SUBTOTAL SUBTOTAL SUBTOTAL SUBTOTAL $ $ Summer camp expenses Summer camp ,False,"Table 4, Row 16",0,Table 4
table_3_row_16,childcare_costs_childcare_costs_childcare_costs_ch,currency,Childcare Costs Childcare Costs Childcare Costs Childcare Costs Childcare Costs Childcare Costs Chil,False,"Table 4, Row 17",0,Table 4
table_3_row_17,daycare_expense_daycare_expense_daycare_expense_da,currency,Daycare expense Daycare expense Daycare expense Daycare expense Daycare expense Daycare expense Dayc,False,"Table 4, Row 18",0,Table 4
